Large-billed Crow,Corvus macrorhynchos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughing Dove,Streptopelia senegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Magpie-Robin,Copsychus saularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pied Bushchat,Saxicola caprata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-rumped Sunbird,Leptocoma zeylonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-vented Bulbul,Pycnonotus cafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-whiskered Bulbul,Pycnonotus jocosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawny-bellied Babbler,Dumetia hyperythra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tickell's Blue Flycatcher,Cyornis tickelliae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bellied Drongo,Dicrurus caerulescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-browed Bulbul,Iole indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-eyed Babbler,Chrysomma sinense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Hirundo rustica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-winged Kite,Elanus caeruleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Eagle,Ictinaetus malaiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Treeswift,Hemiprocne coronata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Francolin,Francolinus pondicerianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Wagtail,Motacilla cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Egret,Egretta garzetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaly-breasted Munia,Lonchura punctulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikra,Accipiter badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Flowerpecker,Dicaeum agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-browed Bulbul,Pycnonotus luteolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy Woodswallow,Artamus fuscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Koel,Eudynamys scolopaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahminy Starling,Sturnia pagodarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusky Crag-Martin,Ptyonoprogne concolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Emerald Dove,Chalcophaps indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden-fronted Leafbird,Chloropsis aurifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Bushlark,Mirafra erythroptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian White-eye,Zosterops palpebrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Sunbird,Cinnyris asiaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose-ringed Parakeet,Psittacula krameri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous Treepie,Dendrocitta vagabunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-browed Wagtail,Motacilla maderaspatensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-billed Babbler,Turdoides affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Paradise-Flycatcher,Terpsiphone paradisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattle Egret,Bubulcus ibis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Moorhen,Gallinula chloropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Myna,Acridotheres fuscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Whistling-Duck,Dendrocygna javanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon,Columba livia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Kestrel,Falco tinnunculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-naped Monarch,Hypothymis azurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Junglefowl,Gallus sonneratii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puff-throated Babbler,Pellorneum ruficeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-rumped Shama,Copsychus malabaricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Nightjar,Caprimulgus indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Cormorant,Microcarbo niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savanna Nightjar,Caprimulgus affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blyth's Reed Warbler,Acrocephalus dumetorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Gray Hornbill,Ocyceros birostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-hooded Oriole,Oriolus xanthornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Pitta,Pitta brachyura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baya Weaver,Ploceus philippinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus sp.,Acrocephalus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay-backed Shrike,Lanius vittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonelli's Eagle,Aquila fasciata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Hawk-Cuckoo,Hierococcyx varius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Peafowl,Pavo cristatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Collared-Dove,Streptopelia decaocto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-breasted Prinia,Prinia hodgsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Pond-Heron,Ardeola grayii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peregrine Falcon,Falco peregrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-wattled Lapwing,Vanellus indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Minivet,Pericrocotus cinnamomeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricolored Munia,Lonchura malacca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Sandpiper,Actitis hypoleucos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Heron,Ardea cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Egret,Ardea alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Shrike,Lanius cristatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddyfield Pipit,Anthus rufulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Skylark,Alauda gulgula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-eyed Buzzard,Butastur teesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy Drongo,Dicrurus leucophaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-crowned Night-Heron,Nycticorax nycticorax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-headed Cuckooshrike,Lalage melanoptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze-winged Jacana,Metopidius indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-tailed Bee-eater,Merops philippinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-tailed Starling,Sturnia malabarica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrine Wagtail,Motacilla citreola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Babbler,Turdoides caudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Kingfisher,Alcedo atthis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Woodshrike,Tephrodornis pondicerianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Darter,Anhinga melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Coot,Fulica atra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Cormorant,Phalacrocorax carbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenish Warbler,Phylloscopus trochiloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Golden Oriole,Oriolus kundoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Stint,Calidris minuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Prinia,Prinia inornata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Heron,Ardea purpurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Swamphen,Porphyrio poliocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot-billed Pelican,Pelecanus philippensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sykes's Warbler,Iduna rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watercock,Gallicrex cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-breasted Waterhen,Amaurornis phoenicurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy-crowned Sparrow-Lark,Eremopterix griseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Pied Starling,Gracupica contra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Egret,Ardea intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-rumped Flameback,Dinopium benghalense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-faced Malkoha,Phaenicophaeus viridirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booted Warbler,Iduna caligata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Bittern,Ixobrychus cinnamomeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Serpent-Eagle,Spilornis cheela,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Wagtail,Dendronanthus indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Racket-tailed Drongo,Dicrurus paradiseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Gray Babbler,Turdoides malcolmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Stork,Mycteria leucocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-bellied Cuckoo,Cacomantis passerinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-fronted Green-Pigeon,Treron affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Collared-Dove,Streptopelia tranquebarica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Spurfowl,Galloperdix spadicea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot-breasted Fantail,Rhipidura albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Owlet,Athene brama,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changeable Hawk-Eagle,Nisaetus cirrhatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerdon's Nightjar,Caprimulgus atripennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Grebe,Tachybaptus ruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loten's Sunbird,Cinnyris lotenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-tailed Shrike,Lanius schach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Spurfowl,Galloperdix lunulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-rumped Munia,Lonchura striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Cormorant,Phalacrocorax fuscicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Cuckoo,Cuculus micropterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinereous Tit,Parus cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Nightjar,Caprimulgus asiaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Cuckooshrike,Coracina macei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-breasted Flycatcher,Ficedula parva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-capped Rock-Thrush,Monticola cinclorhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Yellow Wagtail,Motacilla flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Warbler,Phylloscopus nitidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-winged Stilt,Himantopus himantopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-cheeked Fulvetta,Alcippe poioicephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Greenshank,Tringa nebularia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Hoopoe,Upupa epops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Ringed Plover,Charadrius dubius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange-headed Thrush,Geokichla citrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawny Eagle,Aquila rapax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Sandpiper,Tringa glareola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Openbill,Anastomus oscitans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Gull,Chroicocephalus brunnicephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Rock-Thrush,Monticola solitarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clamorous Reed Warbler,Acrocephalus stentoreus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Sandpiper,Tringa ochropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerdon's Bushlark,Mirafra affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Whitethroat,Sylvia curruca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Sandpiper,Tringa stagnatilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddyfield Warbler,Acrocephalus agricola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Avadavat,Amandava amandava,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Wagtail,Motacilla alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Bittern,Ixobrychus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zitting Cisticola,Cisticola juncidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Owl,Tyto alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-browed Fantail,Rhipidura aureola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-breasted Weaver,Ploceus benghalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plum-headed Parakeet,Psittacula cyanocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Flamingo,Phoenicopterus roseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wire-tailed Swallow,Hirundo smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossy Ibis,Plegadis falcinellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Painted-Snipe,Rostratula benghalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiskered Tern,Chlidonias hybrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-winged Teal,Anas crecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Shoveler,Spatula clypeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streak-throated Woodpecker,Picus xanthopygaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-toed Snake-Eagle,Circaetus gallicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blyth's Pipit,Anthus godlewskii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verditer Flycatcher,Eumyias thalassinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baillon's Crake,Zapornia pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bittern,Ixobrychus flavicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Redstart,Phoenicurus ochruros,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Grasshopper-Warbler,Locustella naevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Snipe,Gallinago gallinago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Pygmy-Goose,Nettapus coromandelianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garganey,Spatula querquedula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Thick-knee,Burhinus indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Owlet,Glaucidium radiatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Pintail,Anas acuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosy Starling,Pastor roseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruddy-breasted Crake,Zapornia fusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaty-breasted Rail,Lewinia striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striated Heron,Butorides striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Brown Flycatcher,Muscicapa dauurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-headed Ibis,Threskiornis melanocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-capped Woodpecker,Yungipicus nanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Rosefinch,Carpodacus erythrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Wigeon,Mareca penelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Lapwing,Vanellus cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-tailed Lark,Ammomanes phoenicura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temminck's Stint,Calidris temminckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Pipit,Anthus trivialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Reef-Heron,Egretta gularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-wattled Lapwing,Vanellus malabaricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob-billed Duck,Sarkidiornis melanotos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Blackbird,Turdus simillimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Tern,Sternula albifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Sandgrouse,Pterocles indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streaked Weaver,Ploceus manyar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barred Buttonquail,Turnix suscitator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahminy Kite,Haliastur indus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Imperial-Pigeon,Ducula aenea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-necked Falcon,Falco chicquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawny Pipit,Anthus campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-naped Oriole,Oriolus chinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-headed Bee-eater,Merops leschenaulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osprey,Pandion haliaetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-naped Ibis,Pseudibis papillosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirkeer Malkoha,Taccocua leschenaultii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streak-throated Swallow,Petrochelidon fluvicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiga Flycatcher,Ficedula albicilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-footed Green-Pigeon,Treron phoenicopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-throated Flycatcher,Cyornis rubeculoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bellied Sea-Eagle,Haliaeetus leucogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Marsh-Harrier,Circus aeruginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booted Eagle,Hieraaetus pennatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-throated Sparrow,Gymnoris xanthocollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair-crested Drongo,Dicrurus hottentottus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hume's Warbler,Phylloscopus humei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Spotted Eagle,Clanga hastata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Scops-Owl,Otus bakkamoena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Swift,Apus melba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-naped Woodpecker,Chrysocolaptes festivus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin-tailed Snipe,Gallinago stenura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-bearded Bee-eater,Nyctyornis athertoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Goshawk,Accipiter trivirgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
